command,mean,stddev,median,user,system,min,max,parameter_num_count
counto=$((2**1)) ./name-generator_cpp,0.00303096758,0.000740393125804123,0.00303096758,0,0.0037282999999999995,0.00250743058,0.00355450458,1
counto=$((2**1)) ./name-generator_cpp_O2,0.00381223258,0.0002499311344510716,0.00381223258,0.0020590900000000004,0.0021549,0.00363550458,0.003988960579999999,1
counto=$((2**1)) ./name-generator_cpp_O1,0.00452055758,0.000051627280307991525,0.00452055758,0.0022950899999999996,0.0025494,0.0044840515800000005,0.0045570635799999995,1
counto=$((2**1)) ./name-generator_go,0.0038601000799999997,0.001184025556359532,0.0038601000799999997,0.0016745899999999999,0.0027893999999999996,0.00302286758,0.00469733258,1
counto=$((2**1)) ./name-generator_pascal,0.008538209080000001,0.0005035003332913497,0.008538209080000001,0.00462918,0.0036502999999999996,0.00818218058,0.00889423758,1
counto=$((2**1)) ./name-generator.js,0.02899072808,0.0009769366075669918,0.02899072808,0.02526668,0.0066783,0.02829992958,0.029681526580000003,1
counto=$((2**1)) ./name-generator.ts,0.05744496058,0.00008105989296810198,0.05744496058,0.05609968,0.0176273,0.05738764258,0.05750227858,1
counto=$((2**1)) java -jar ./name-generator.jar,0.07691276708,0.007284710933412837,0.07691276708,0.13475517999999997,0.021744299999999998,0.07176169857999999,0.08206383558,1
counto=$((2**1)) ./name-generator.pl,0.014523617580000002,0.0002097646408525527,0.014523617580000002,0.00843968,0.0059583,0.014375291580000001,0.014671943580000003,1
counto=$((2**1)) ./name-generator_d,0.00552349508,0.0011281952333441674,0.00552349508,0.00423718,0.0012994,0.00472574058,0.00632124958,1
counto=$((2**1)) ./name-generator.r,0.19807448658000001,0.00148812743421052,0.19807448658000001,0.15615668,0.0389448,0.19702222158000002,0.19912675158,1
counto=$((2**1)) ./name-generator.php,0.01227777708,0.00042653741701344255,0.01227777708,0.0022741799999999998,0.0095078,0.011976169580000001,0.01257938458,1
counto=$((2**1)) ./name-generator.rb,0.07699515007999999,0.009566459663488075,0.07699515007999999,0.06116518,0.0141988,0.07023064158,0.08375965858,1
counto=$((2**1)) ./name-generator.lua,0.01957142358,0.0009061559258769975,0.01957142358,0.01684768,0.0022697999999999998,0.01893067458,0.02021217258,1
counto=$((2**1)) java NameGenerator,0.05595274958,0.005705268436586662,0.05595274958,0.08119868,0.0139698,0.051918515580000005,0.05998698358000001,1
counto=$((2**1)) rust/target/debug/name-generator,0.007696638580000001,0.000021296642035777042,0.007696638580000001,0.0036020899999999996,0.0041833999999999994,0.00768157958,0.007711697580000001,1
counto=$((2**1)) ./name-generator.py,0.07023790858,0.005641269616035033,0.07023790858,0.05401918,0.0161533,0.06624892857999999,0.07422688858,1
counto=$((2**2)) ./name-generator_cpp,0.0034248250800000004,0.001234614803912743,0.0034248250800000004,0.00345318,0,0.00255182058,0.004297829580000001,2
counto=$((2**2)) ./name-generator_cpp_O2,0.0034377020800000005,0.001675433656585811,0.0034377020800000005,0.00207068,0.0011454,0.00225299158,0.0046224125800000005,2
counto=$((2**2)) ./name-generator_cpp_O1,0.00413751858,0.000031180580623201065,0.00413751858,0.00300018,0.0011354,0.004115470580000001,0.004159566579999999,2
counto=$((2**2)) ./name-generator_go,0.00487496258,0.00048194842570756496,0.00487496258,0.00102259,0.0043358,0.00453417358,0.0052157515800000005,2
counto=$((2**2)) ./name-generator_pascal,0.00733648158,0.002174275570402703,0.00733648158,0.00116909,0.0060363,0.00579903658,0.00887392658,2
counto=$((2**2)) ./name-generator.js,0.03285232508,0.004731204096764847,0.03285232508,0.025674179999999998,0.0102498,0.029506858580000003,0.03619779158,2
counto=$((2**2)) ./name-generator.ts,0.08346037208000001,0.00877790266639022,0.08346037208000001,0.07252868,0.0298618,0.07725345758,0.08966728658,2
counto=$((2**2)) java -jar ./name-generator.jar,0.07477420158,0.0013685471922305111,0.07477420158,0.13954017999999999,0.019568299999999997,0.07380649258,0.07574191058,2
counto=$((2**2)) ./name-generator.pl,0.01517660158,0.0001632638847081602,0.01517660158,0.01031118,0.0045698,0.015061156580000002,0.01529204658,2
counto=$((2**2)) ./name-generator_d,0.00611303258,0.00031270948869837717,0.00611303258,0.0007350900000000001,0.005648299999999999,0.00589191358,0.006334151580000001,2
counto=$((2**2)) ./name-generator.r,0.18144832358000001,0.0005745907277515012,0.18144832358000001,0.13639367999999996,0.0426878,0.18104202658000002,0.18185462058000001,2
counto=$((2**2)) ./name-generator.php,0.01162598108,0.00014640999457858018,0.01162598108,0.00645468,0.0049488,0.011522453580000001,0.01172950858,2
counto=$((2**2)) ./name-generator.rb,0.07562094608,0.006298212120843862,0.07562094608,0.06208668,0.0126123,0.07116743757999999,0.08007445458,2
counto=$((2**2)) ./name-generator.lua,0.01763779158,0.002123874413253288,0.01763779158,0.014278679999999998,0.0032638,0.01613598558,0.01913959758,2
counto=$((2**2)) java NameGenerator,0.04911294808,0.0011133742752104934,0.04911294808,0.06867967999999999,0.0204453,0.048325673580000006,0.04990022258,2
