lang,lang_file
c,name-generator.c
bash,name-generator.bash
cpp,name-generator.cpp
dart,name-generator.dart
elisp,name-generator.el
elixir,name-generator.exs
erlang,name_generator.erl
golang,name-generator.go
haskell,name-generator_haskell.hs
java,NameGenerator.java
javascript,name-generator.js
julia,name-generator.jl
kotlin,name-generator.kt
lua,name-generator.lua
ocaml,name-generator.ml
perl,name-generator.pl
python,name-generator.py
racket,name-generator.rkt
raku,name-generator.raku
ruby,name-generator.rb
rust,rust/src/main.rs
sh,name-generator.sh
zsh,name-generator.zsh
